date,amount,place
08/09/2017,"-7,9",PICNIC KAMPPI       HELSINKI
08/09/2017,"-2,5",R KAUKLAHTI ASEMA   ESPOO
10/09/2017,339,SHAFIQ OMER
11/09/2017,"-8,76",WWW.ALIEXPRESS.COM  LONDON
11/09/2017,"-7,2",ISS Palvelut        ISS
11/09/2017,-5,Mroom Malminrinne   Helsinki
11/09/2017,"-6,5",ASSARESTA OY        HELSINKI
11/09/2017,"-11,69",ALEPA POHJOIS HAAGA HELSINKI
11/09/2017,"-2,5",R KAUKLAHTI ASEMA   ESPOO
11/09/2017,"-5,49",ITUNES.COM/BILL     ITUNES.COM
11/09/2017,"-10,77",ALEPA POHJOIS HAAGA HELSINKI
12/09/2017,"-20,8",PICNIC KAMPINTO     HELSINKI
12/09/2017,"-23,2",FLYING TIGER COPENH HELSINKI
12/09/2017,-4,FLYING TIGER COPENH HELSINKI
13/09/2017,-10,MATHYRUBAN          HELSINKI
13/09/2017,-1,ISS Palvelut Oy     ISS
14/09/2017,"-21,4",KAPPELI             HELSINKI
14/09/2017,-9,KAPPELI             HELSINKI
14/09/2017,"-2,5",KAPPELI             HELSINKI
15/09/2017,"3177,9",TIETO FINLAND OY
15/09/2017,"-7,2",OSUUSPANKKI
15/09/2017,-3000,SHAFIQ OMER
15/09/2017,-10,MATHYRUBAN          HELSINKI
15/09/2017,-1,HSL Mobiililippu    00077 HSL
15/09/2017,1,HSL Mobiililippu    00077 HSL
16/09/2017,"-118,49",Oy SRG Finland Ab
17/09/2017,-20,
18/09/2017,"-21,5",MATHYRUBAN          HELSINKI
18/09/2017,"-2,5",R KAUKLAHTI ASEMA   ESPOO
18/09/2017,-8,ISS Palvelut        ISS
18/09/2017,"-7,9",HESBURGER HKI K     HELSINKI
18/09/2017,"-11,74",ALEPA POHJOIS HAAGA HELSINKI
18/09/2017,390,SHAFIQ OMER
18/09/2017,-11,ASSARESTA OY        HELSINKI
18/09/2017,"-6,03",ALEPA POHJOIS HAAGA HELSINKI
19/09/2017,"-12,3",Zeberas Oy          HELSINKI
19/09/2017,"-3,9",Nutramino SE        F24S - Helsin
20/09/2017,"-6,9",Zeberas Oy          HELSINKI
20/09/2017,"-2,5",PICNIC KAMPINTO     HELSINKI
20/09/2017,"-8,55",ALEPA KAMPIN KESKUS HELSINKI
20/09/2017,137,SHAFIQ OMER
20/09/2017,"-19,9",Fitness24seven OY
20/09/2017,"-25,37",DNA OY
20/09/2017,"-61,97",VISTAPR*VistaPrint. 866-8936743
21/09/2017,"-13,5",MATHYRUBAN          HELSINKI
21/09/2017,"-24,81",K supermarket Posti Helsinki
21/09/2017,"-6,7",SOKOS HELSINKI      HELSINKI
22/09/2017,"-5,9",PICNIC KAMPPI       HELSINKI
23/09/2017,100,SHAFIQ OMER
24/09/2017,100,SHAFIQ OMER
25/09/2017,-10,MATHYRUBAN          HELSINKI
25/09/2017,"-4,95",JUNGLE JUICE BAR TO HELSINKI
25/09/2017,"-3,9",Nutramino SE        F24S - Helsin
25/09/2017,"-18,66",S MARKET HELSINKI   HELSINKI
25/09/2017,"-7,7",R POHJOIS-HAAGA     HELSINKI
25/09/2017,"-58,7",R POHJOIS-HAAGA     HELSINKI
25/09/2017,"-32,7",Ravintola Santa F   HELSINKI
25/09/2017,"-10,8",APOLLO              HELSINKI
25/09/2017,"-6,88",ALEPA POHJOIS HAAGA HELSINKI
25/09/2017,"-19,77",S MARKET LASSILA    HELSINKI
25/09/2017,"-10,2",BILAAL HALAL ELINTA HELSINKI
26/09/2017,-8,ISS Palvelut        ISS
26/09/2017,"-3,78",ALEPA POHJOIS HAAGA HELSINKI
26/09/2017,-50,Kristine
26/09/2017,100,SHAFIQ OMER
27/09/2017,-10,MATHYRUBAN          HELSINKI
27/09/2017,"-5,03",K market Kamppi     Helsinki
27/09/2017,"-6,6",Fazer Ravintolat Oy Helsinki
27/09/2017,"-2,7",ESPRESSOHOUSE KAMPP HELSINKI
27/09/2017,"-8,1",ESPRESSOHOUSE KAMPP HELSINKI
28/09/2017,-20,MATHYRUBAN          HELSINKI
28/09/2017,-6,ISS Palvelut        ISS
29/09/2017,"-4,95",JUNGLE JUICE BAR CI HELSINKI
29/09/2017,"-15,61",K supermarket Posti Helsinki
29/09/2017,"-1,89",LIDL HELSINKI   CIT HELSINKI
29/09/2017,100,SHAFIQ OMER
02/10/2017,-50,STARTUP SAUNA OY    358456784007
02/10/2017,-15,ASSARESTA OY        HELSINKI
02/10/2017,"-31,71",K supermarket Pohjo Helsinki
02/10/2017,"-3,13",ALEPA POHJOIS HAAGA HELSINKI
02/10/2017,"-0,2",ALEPA POHJOIS HAAGA HELSINKI
02/10/2017,376,SHAFIQ OMER
03/10/2017,-376,Transferwise        London
03/10/2017,"-2,99",K SUPERMARKET KAMPP HELSINKI
03/10/2017,"-5,5",JUNGLE JUICE BAR TO HELSINKI
04/10/2017,-10,MATHYRUBAN          HELSINKI
04/10/2017,"-5,9",PICNIC KAMPPI       HELSINKI
04/10/2017,-3,FLYING TIGER COPENH HELSINKI
05/10/2017,"-215,46",SATOKOTI OY
05/10/2017,-8,ISS Palvelut        ISS
05/10/2017,-11,ASSARESTA OY        HELSINKI
05/10/2017,"-4,5",AMIN GROUP OY       HELSINKI
06/10/2017,500,SHAFIQ OMER
09/10/2017,"-7,5",Taxify 17.10.06 230 Viimsi
09/10/2017,-40,CHANGEGROUP ATM3 G1 VANTAA
09/10/2017,-3,Selecta             T1 Gate 12
09/10/2017,"-1,79",NARVESEN BALTIJA 11 RIGA
09/10/2017,"-2,2","LOVE RIGA, SKUNU    RIGA"
09/10/2017,"-22,8",MAKONIS             RIGA
09/10/2017,"-6,69","APSARA, BARONA 2A   RIGA"
09/10/2017,"-12,8",Apteekki Toolo      HELSINKI
09/10/2017,"-20,65",HELSINKI MARKET     VANTAA
09/10/2017,"-30,33",RIMI SM Barona cent Riga
09/10/2017,"-2,19",NARVESEN 1017       RIGA
09/10/2017,"-8,7",Taxify 17.10.09 025 Viimsi
10/10/2017,"-1,5",NARVESEN 1029-1     MARUPES NOVAD
10/10/2017,"-2,25",K SUPERMARKET KAMPP HELSINKI
10/10/2017,"-4,7",PICNIC KAMPPI       HELSINKI
11/10/2017,-10,MATHYRUBAN          HELSINKI
11/10/2017,-15,ASSARESTA OY        HELSINKI
11/10/2017,-5,R KAUKLAHTI ASEMA   ESPOO
12/10/2017,"-11,8",PICNIC KAMPPI       HELSINKI
13/10/2017,"3059,7",TIETO FINLAND OY
14/10/2017,-2500,SHAFIQ OMER
14/10/2017,-100,SHAFIQ OMER
16/10/2017,-10,MATHYRUBAN          HELSINKI
16/10/2017,"-3,84",K supermarket Posti Helsinki
16/10/2017,"-10,3",RAVINTOLA INDIA HOU HELSINKI
